Provinsi/Kabupaten/Kota,
,Garis Kemiskinan Menurut Kabupaten/Kota (Rupiah/kapita/bulan)
,2025
ACEH,676247
Simeulue,586505
Aceh Singkil,619322
Aceh Selatan,538174
Aceh Tenggara,502074
Aceh Timur,564943
Aceh Tengah,636315
Aceh Barat,652009
Aceh Besar,598160
Pidie,618445
Bireuen,503866
Aceh Utara,483719
Aceh Barat Daya,525947
Gayo Lues,567201
Aceh Tamiang,590294
Nagan Raya,642820
Aceh Jaya,542092
Bener Meriah,602421
Pidie Jaya,610755
Kota Banda Aceh,872944
Kota Sabang,736956
Kota Langsa,554363
Kota Lhokseumawe,529671
Kota Subulussalam,514372
SUMATERA UTARA,666546
Nias,541016
Mandailing Natal,537240
Tapanuli Selatan,527232
Tapanuli Tengah,546223
Tapanuli Utara,549677
Toba Samosir,549563
Labuhan Batu,575408
Asahan,469559
Simalungun,513793
Dairi,521738
Karo,678885
Deli Serdang,525433
Langkat,528073
Nias Selatan,428859
Humbang Hasundutan,503769
Pakpak Bharat,426571
Samosir,473942
Serdang Bedagai,535422
Batu Bara,613493
Padang Lawas Utara,519411
Padang Lawas,499761
Labuhan Batu Selatan,550141
Labuhan Batu Utara,629870
Nias Utara,551434
Nias Barat,564416
Kota Sibolga,637141
Kota Tanjung Balai,619558
Kota Pematang Siantar,722851
Kota Tebing Tinggi,691270
Kota Medan,721547
Kota Binjai,600451
Kota Padangsidimpuan,578095
Kota Gunungsitoli,521961
SUMATERA BARAT,729806
Kepulauan Mentawai,474879
Pesisir Selatan,600161
Solok,579500
Sijunjung,574991
Tanah Datar,564372
Padang Pariaman,590495
Agam,570317
Lima Puluh Kota,593402
Pasaman,524533
Solok Selatan,558817
Dharmasraya,633451
Pasaman Barat,669360
Kota Padang,767616
Kota Solok,593520
Kota Sawah Lunto,545725
Kota Padang Panjang,660705
Kota Bukittinggi,685824
Kota Payakumbuh,674813
Kota Pariaman,634304
RIAU,713117
Kuantan Singingi,751174
Indragiri Hulu,673975
Indragiri Hilir,642777
Pelalawan,741594
Siak,607601
Kampar,600385
Rokan Hulu,712867
Bengkalis,764542
Rokan Hilir,559703
Kepulauan Meranti,673296
Kota Pekanbaru,767408
Kota Dumai,654144
JAMBI,664127
Kerinci,617362
Merangin,629000
Sarolangun,625401
Batang Hari,622440
Muaro Jambi,633575
Tanjung Jabung Timur,601104
Tanjung Jabung Barat,586789
Tebo,602105
Bungo,619464
Kota Jambi,773124
Kota Sungai Penuh,622995
SUMATERA SELATAN,581702
Ogan Komering Ulu,588225
Ogan Komering Ilir,493783
Muara Enim,512439
Lahat,606881
Musi Rawas,616298
Musi Banyuasin,627094
Banyu Asin,560840
Ogan Komering Ulu Selatan,456280
Ogan Komering Ulu Timur,453488
Ogan Ilir,614656
Empat Lawang,440405
Penukal Abab Lematang Ilir,530583
Musi Rawas Utara,666294
Kota Palembang,699920
Kota Prabumulih,687666
Kota Pagar Alam,444962
Kota Lubuklinggau,632783
BENGKULU,683820
Bengkulu Selatan,500588
Rejang Lebong,604697
Bengkulu Utara,493892
Kaur,443789
Seluma,513037
Mukomuko,575283
Lebong,540904
Kepahiang,496275
Bengkulu Tengah,595054
Kota Bengkulu,840710
