Provinsi/Kabupaten/Kota / Indonesia,
,Indeks Pembangunan Manusia Menurut Kabupaten/Kota
,2011
ACEH,72.16
SIMEULUE,69.73
ACEH SINGKIL,68.98
ACEH SELATAN,70.36
ACEH TENGGARA,71.94
ACEH TIMUR,70.94
ACEH TENGAH,74.18
ACEH BARAT,71.2
ACEH BESAR,73.83
PIDIE,72.43
BIREUEN,73.38
ACEH UTARA,72.85
ACEH BARAT DAYA,70.95
GAYO LUES,68.22
ACEH TAMIANG,71.26
NAGAN RAYA,69.68
ACEH JAYA,69.99
BENER MERIAH,71.51
PIDIE JAYA,72.82
KOTA BANDA ACEH,78
KOTA SABANG,76.47
KOTA LANGSA,74.37
KOTA LHOKSEUMAWE,76.68
KOTA SUBULUSSALAM,69.63
SUMATERA UTARA,74.65
NIAS,69.09
MANDAILING NATAL,71.04
TAPANULI SELATAN,74.45
TAPANULI TENGAH,71.63
TAPANULI UTARA,74.86
TOBA SAMOSIR,76.93
LABUHAN BATU,74.65
ASAHAN,73.25
SIMALUNGUN,73.94
DAIRI,73.49
KARO,75.79
DELI SERDANG,75.78
LANGKAT,73.62
NIAS SELATAN,67.72
HUMBANG HASUNDUTAN,72.43
PAKPAK BHARAT,71.2
SAMOSIR,74.27
SERDANG BEDAGAI,73.64
BATU BARA,72.08
PADANG LAWAS UTARA,73.25
PADANG LAWAS,72.55
LABUHAN BATU SELATAN,74.38
LABUHAN BATU UTARA,74.14
NIAS UTARA,68.18
NIAS BARAT,67.1
KOTA SIBOLGA,75.5
KOTA TANJUNG BALAI,74.72
KOTA PEMATANG SIANTAR,77.93
KOTA TEBING TINGGI,76.91
KOTA MEDAN,77.81
KOTA BINJAI,76.88
KOTA PADANGSIDIMPUAN,75.58
KOTA GUNUNGSITOLI,72.21
SUMATERA BARAT,74.28
KEPULAUAN MENTAWAI,69.06
PESISIR SELATAN,71.77
SOLOK,71.73
SIJUNJUNG,71.4
TANAH DATAR,74.58
PADANG PARIAMAN,71.98
AGAM,73.74
LIMA PULUH KOTA,71.78
PASAMAN,73.19
SOLOK SELATAN,69.34
DHARMAS RAYA,69.89
PASAMAN BARAT,70.62
KOTA PADANG,78.15
KOTA SOLOK,76.04
KOTA SAWAH LUNTO,75.41
KOTA PADANG PANJANG,78.12
KOTA BUKITTINGGI,78.73
KOTA PAYAKUMBUH,76.29
KOTA PARIAMAN,74.89
RIAU,76.53
KUANTAN SINGINGI,74.15
INDRAGIRI HULU,74.54
INDRAGIRI HILIR,75.71
PELALAWAN,73.59
SIAK,76.92
KAMPAR,75.18
ROKAN HULU,73.1
BENGKALIS,75.53
ROKAN HILIR,72.83
KEPULAUAN MERANTI,71.08
KOTA PEKANBARU,78.72
KOTA DUMAI,78.25
JAMBI,73.3
KERINCI,74.76
MERANGIN,72.4
SAROLANGUN,73.08
BATANG HARI,73.44
MUARO JAMBI,73.12
TANJUNG JABUNG TIMUR,72.05
TANJUNG JABUNG BARAT,73.24
TEBO,72.3
BUNGO,72.5
KOTA JAMBI,76.6
KOTA SUNGAI PENUH,77.02
SUMATERA SELATAN,73.42
OGAN KOMERING ULU,73.59
OGAN KOMERING ILIR,71.07
MUARA ENIM,71.26
LAHAT,71.83
MUSI RAWAS,68.38
MUSI BANYUASIN,72.44
BANYU ASIN,70.28
OGAN KOMERING ULU SELATAN,71.82
OGAN KOMERING ULU TIMUR,70.34
OGAN ILIR,70.09
EMPAT LAWANG,69.08
PENUKAL ABAB LEMATANG ILIR,-
MUSI RAWAS UTARA,-
KOTA PALEMBANG,76.69
KOTA PRABUMULIH,74.94
KOTA PAGAR ALAM,73.7
KOTA LUBUKLINGGAU,71.1
BENGKULU,73.4
BENGKULU SELATAN,72.78
REJANG LEBONG,71.7
BENGKULU UTARA,72.19
KAUR,70.43
SELUMA,67.29
MUKOMUKO,71.11
LEBONG,70.66
KEPAHIANG,68.63
BENGKULU TENGAH,69.01
KOTA BENGKULU,77.99
LAMPUNG,71.94
LAMPUNG BARAT,69.72
TANGGAMUS,71.83
LAMPUNG SELATAN,70.53
LAMPUNG TIMUR,71.26
LAMPUNG TENGAH,71.29
LAMPUNG UTARA,70.81
WAY KANAN,70.43
TULANGBAWANG,70.96
PESAWARAN,70.3
PRINGSEWU,72.37
MESUJI,67.98
TULANGBAWANG BARAT,69.32
PESISIR BARAT,-
KOTA BANDAR LAMPUNG,76.29
KOTA METRO,76.95
KEP. BANGKA BELITUNG,73.37
BANGKA,73.23
BELITUNG,73.77
BANGKA BARAT,70.54
BANGKA TENGAH,71.63
BANGKA SELATAN,67.36
BELITUNG TIMUR,72.44
KOTA PANGKAL PINANG,76.54
KEP. RIAU,75.78
KARIMUN,73.99
BINTAN,75.17
NATUNA,71.26
LINGGA,71.68
KEPULAUAN ANAMBAS,69.5
KOTA BATAM,78.03
KOTA TANJUNG PINANG,75.25
DKI JAKARTA,77.97
KEPULAUAN SERIBU,71.16
KODYA JAKARTA SELATAN,79.82
