wilayah,tahun,garis_kemiskinan
Aceh Barat,2011,402636.0
Aceh Barat Daya,2011,274089.0
Aceh Besar,2011,351800.0
Aceh Jaya,2011,291333.0
Aceh Selatan,2011,278854.0
Aceh Singkil,2011,304414.0
Aceh Tamiang,2011,322629.0
Aceh Tengah,2011,360044.0
Aceh Tenggara,2011,201449.0
Aceh Timur,2011,312927.0
Aceh Utara,2011,271150.0
Agam,2011,241355.0
Alor,2011,196693.0
Asahan,2011,245421.0
Asmat,2011,236081.0
Badung,2011,346460.0
Balangan,2011,244785.0
Bandung,2011,228092.0
Bandung Barat,2011,227988.0
Banggai,2011,245405.0
Banggai Kepulauan,2011,215634.0
Banggai Laut,2011,274333.0
Bangka,2011,315548.0
Bangka Barat,2011,305500.0
Bangka Selatan,2011,308328.0
Bangka Tengah,2011,387786.0
Bangkalan,2011,251599.0
Bangli,2011,233694.0
Banjar,2011,251948.0
Banjarnegara,2011,192303.0
Bantaeng,2011,177829.0
Bantul,2011,264546.0
Banyu Asin,2011,256821.0
Banyumas,2011,249807.0
Banyuwangi,2011,240315.0
Barito Kuala,2011,200706.0
Barito Selatan,2011,275729.0
Barito Timur,2011,304788.0
Barito Utara,2011,281756.0
Barru,2011,224201.0
Batang,2011,184592.0
Batang Hari,2011,266809.0
Batu Bara,2011,277434.0
Bekasi,2011,300013.0
Belitung,2011,416041.0
Belitung Timur,2011,380813.0
Belu,2011,209223.0
Bener Meriah,2011,322853.0
Bengkalis,2011,349770.0
Bengkayang,2011,210755.0
Bengkulu Selatan,2011,253846.0
Bengkulu Tengah,2011,255424.0
Bengkulu Utara,2011,259568.0
Berau,2011,341533.0
Biak Numfor,2011,357595.0
Bima,2011,217395.0
Bintan,2011,286007.0
Bireuen,2011,286617.0
Blitar,2011,210254.0
Blora,2011,206016.0
Boalemo,2011,231480.0
Bogor,2011,235682.0
Bojonegoro,2011,230397.0
Bolaang Mongondow,2011,234305.0
Bolaang Mongondow Selatan,2011,231920.0
Bolaang Mongondow Timur,2011,232402.0
Bolaang Mongondow Utara,2011,190022.0
Bombana,2011,226962.0
Bondowoso,2011,251426.0
Bone,2011,208275.0
Bone Bolango,2011,225395.0
Boven Digoel,2011,269760.0
Boyolali,2011,223755.0
Brebes,2011,261160.0
Buleleng,2011,260165.0
Bulukumba,2011,221152.0
Bulungan,2011,283179.0
Bungo,2011,232927.0
Buol,2011,221154.0
Buru,2011,286433.0
Buru Selatan,2011,345106.0
Buton,2011,182569.0
Buton Selatan,2011,205287.0
Buton Tengah,2011,215822.0
Buton Utara,2011,239365.0
Ciamis,2011,233528.0
Cianjur,2011,235202.0
Cilacap,2011,224530.0
Cirebon,2011,262374.0
Dairi,2011,239034.0
Deiyai,2011,331524.0
Deli Serdang,2011,268926.0
Demak,2011,254441.0
Dharmasraya,2011,275528.0
Dogiyai,2011,333046.0
Dompu,2011,211464.0
Donggala,2011,203960.0
Empat Lawang,2011,216347.0
Ende,2011,230086.0
Enrekang,2011,212826.0
Fakfak,2011,355494.0
Flores Timur,2011,185817.0
Garut,2011,202350.0
Gayo Lues,2011,275000.0
Gianyar,2011,260704.0
Gorontalo,2011,249151.0
Gorontalo Utara,2011,210011.0
Gowa,2011,245195.0
Gresik,2011,285519.0
Grobogan,2011,242212.0
Gunung Kidul,2011,220479.0
Gunung Mas,2011,263356.0
Halmahera Barat,2011,226187.0
Halmahera Selatan,2011,209455.0
Halmahera Tengah,2011,296623.0
Halmahera Timur,2011,344615.0
Halmahera Utara,2011,170559.0
Hulu Sungai Selatan,2011,279594.0
Hulu Sungai Tengah,2011,227761.0
Hulu Sungai Utara,2011,264058.0
Humbang Hasundutan,2011,229594.0
Indragiri Hilir,2011,261927.0
Indragiri Hulu,2011,325185.0
Indramayu,2011,301788.0
Intan Jaya,2011,304909.0
Jayapura,2011,350569.0
Jayawijaya,2011,273270.0
Jember,2011,226546.0
Jembrana,2011,267747.0
Jeneponto,2011,233713.0
Jepara,2011,242963.0
Jombang,2011,251704.0
Kaimana,2011,278626.0
Kampar,2011,308446.0
Kapuas,2011,205852.0
Kapuas Hulu,2011,253680.0
Karanganyar,2011,236093.0
Karangasem,2011,226173.0
Karawang,2011,288001.0
Karimun,2011,269423.0
Karo,2011,315547.0
Katingan,2011,273703.0
Kaur,2011,225844.0
Kayong Utara,2011,183174.0
Kebumen,2011,234005.0
Kediri,2011,218865.0
Keerom,2011,342852.0
Kendal,2011,234475.0
Kepahiang,2011,245303.0
Kepulauan Anambas,2011,255867.0
Kepulauan Aru,2011,239965.0
Kepulauan Mentawai,2011,199324.0
Kepulauan Meranti,2011,358617.0
Kepulauan Sangihe,2011,197236.0
Kepulauan Selayar,2011,224541.0
Kepulauan Seribu,2011,393717.0
Kepulauan Sula,2011,232756.0
Kepulauan Talaud,2011,206632.0
Kepulauan Yapen,2011,358284.0
Kerinci,2011,241969.0
Ketapang,2011,259100.0
Klaten,2011,275002.0
Klungkung,2011,223639.0
Kolaka,2011,258963.0
Kolaka Timur,2011,291862.0
Kolaka Utara,2011,312645.0
Konawe,2011,227292.0
Konawe Kepulauan,2011,240679.0
Konawe Selatan,2011,170100.0
Konawe Utara,2011,198840.0
Kota Ambon,2011,324453.0
Kota Balikpapan,2011,357077.0
