wilayah,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Aceh Barat,402636.0,407442.0,413061.0,417641.0,424227.0,441909.0,446614.0,447089.0,471058.0,517264.0,533712.0,558638.0,616091.0,644009.0,652009.0
Aceh Barat Daya,274089.0,276324.0,283117.0,288713.0,292323.0,306930.0,329543.0,340903.0,358059.0,393640.0,406157.0,430297.0,474127.0,516947.0,525947.0
Aceh Besar,351800.0,352112.0,352451.0,352751.0,366676.0,384545.0,398752.0,422051.0,447563.0,477938.0,489498.0,519320.0,564431.0,586860.0,598160.0
Aceh Jaya,291333.0,296921.0,303209.0,308891.0,316304.0,331940.0,356060.0,373690.0,391677.0,428094.0,441706.0,468854.0,515244.0,536092.0,542092.0
Aceh Selatan,278854.0,281158.0,283446.0,285301.0,288619.0,304466.0,332177.0,351288.0,369107.0,405786.0,418689.0,446224.0,494565.0,528243.0,538174.0
Aceh Singkil,304414.0,308917.0,316319.0,322413.0,351409.0,368968.0,406015.0,427804.0,450217.0,473983.0,487249.0,518951.0,568691.0,609322.0,619322.0
Aceh Tamiang,322629.0,328599.0,331218.0,336767.0,343246.0,368691.0,389459.0,420841.0,437991.0,459387.0,479801.0,508599.0,555387.0,583294.0,590294.0
Aceh Tengah,360044.0,365375.0,370670.0,374989.0,380858.0,397859.0,427170.0,445250.0,468577.0,492227.0,505933.0,533810.0,584863.0,626090.0,636315.0
Aceh Tenggara,201449.0,203116.0,206797.0,209811.0,212025.0,221799.0,250854.0,340196.0,357015.0,392493.0,404725.0,430825.0,471301.0,496074.0,502074.0
Aceh Timur,312927.0,316131.0,319392.0,322385.0,328048.0,350186.0,369911.0,398493.0,417715.0,440455.0,460422.0,491550.0,530934.0,557943.0,564943.0
Aceh Utara,271150.0,273334.0,274799.0,276137.0,280683.0,301733.0,318729.0,340086.0,353856.0,375394.0,392412.0,420615.0,454361.0,473719.0,483719.0
Agam,241355.0,254124.0,267436.0,275748.0,279590.0,315804.0,327004.0,341372.0,379304.0,424728.0,444711.0,485222.0,530290.0,558963.0,570317.0
Alor,196693.0,213946.0,232406.0,244431.0,250327.0,268450.0,287878.0,305853.0,311560.0,336402.0,364939.0,400858.0,438013.0,446875.0,464871.0
Asahan,245421.0,247603.0,251914.0,254253.0,262464.0,292030.0,305868.0,315420.0,330460.0,351314.0,377752.0,397944.0,427293.0,454298.0,469559.0
Asmat,236081.0,252526.0,271053.0,280854.0,299893.0,316437.0,349487.0,354478.0,364728.0,383790.0,405368.0,424978.0,450237.0,487035.0,520641.0
Badung,346460.0,376092.0,406408.0,423568.0,454916.0,470732.0,500885.0,534069.0,547186.0,587737.0,613993.0,633769.0,688018.0,737800.0,769560.0
Balangan,244785.0,263681.0,284378.0,299080.0,312445.0,348442.0,368580.0,382835.0,396532.0,441488.0,453928.0,476190.0,508157.0,528104.0,544169.0
Bandung,228092.0,241947.0,256733.0,264129.0,275562.0,297483.0,310569.0,334929.0,345177.0,367403.0,378819.0,398884.0,426069.0,455636.0,468974.0
Bandung Barat,227988.0,241892.0,256789.0,264244.0,275327.0,294823.0,309304.0,329415.0,341307.0,362212.0,374470.0,393956.0,426355.0,455325.0,471101.0
Banggai,245405.0,266023.0,287513.0,304907.0,311258.0,344795.0,352840.0,373695.0,395700.0,417863.0,431639.0,457335.0,488788.0,515334.0,535425.0
Banggai Kepulauan,215634.0,230688.0,244977.0,256341.0,260814.0,290742.0,300753.0,317475.0,338815.0,364025.0,373799.0,396904.0,432673.0,453552.0,471281.0
Banggai Laut,274333.0,274333.0,274333.0,274333.0,274333.0,296716.0,306611.0,324734.0,335604.0,359768.0,366005.0,384686.0,424660.0,443877.0,453715.0
Bangka,315548.0,336790.0,360715.0,375653.0,385899.0,427684.0,475024.0,497164.0,541925.0,577093.0,595429.0,639535.0,685810.0,723719.0,734575.0
Bangka Barat,305500.0,331971.0,366365.0,388493.0,399401.0,440850.0,497567.0,520642.0,549496.0,589894.0,599887.0,635861.0,681517.0,720398.0,731204.0
Bangka Selatan,308328.0,328497.0,350691.0,364504.0,374778.0,415359.0,462716.0,483823.0,523155.0,561617.0,581970.0,621629.0,669016.0,697382.0,707843.0
Bangka Tengah,387786.0,429177.0,479479.0,512240.0,528720.0,586445.0,653308.0,680907.0,693842.0,721331.0,735479.0,773509.0,814969.0,856895.0,865464.0
Bangkalan,251599.0,270870.0,291529.0,305174.0,319120.0,334338.0,349073.0,369455.0,389170.0,418908.0,432046.0,458754.0,503207.0,547017.0,566280.0
Bangli,233694.0,245720.0,258538.0,265603.0,283849.0,305200.0,321674.0,327668.0,329014.0,346458.0,370732.0,401650.0,436928.0,465572.0,486007.0
Banjar,251948.0,273074.0,296791.0,313769.0,327970.0,360494.0,381862.0,400081.0,429422.0,462375.0,482867.0,514991.0,561521.0,589165.0,634526.0
Banjarnegara,192303.0,205369.0,221056.0,229718.0,236399.0,252328.0,264387.0,278210.0,301792.0,318334.0,328679.0,351333.0,380046.0,398344.0,424316.0
Bantaeng,177829.0,188123.0,200302.0,209080.0,217595.0,223408.0,234286.0,260263.0,309357.0,340890.0,363342.0,394116.0,419677.0,434664.0,453167.0
Bantul,264546.0,277792.0,292639.0,301986.0,312514.0,332057.0,347476.0,369480.0,381538.0,405613.0,418265.0,445511.0,488340.0,510740.0,531456.0
Banyu Asin,256821.0,267600.0,281336.0,287842.0,311716.0,337391.0,353914.0,381437.0,397496.0,429816.0,445089.0,477393.0,509264.0,539283.0,560840.0
Banyumas,249807.0,271800.0,295742.0,309106.0,320585.0,344514.0,357748.0,366442.0,385140.0,406250.0,417086.0,441520.0,479027.0,500861.0,529310.0
Banyuwangi,240315.0,257857.0,276648.0,285004.0,295185.0,311722.0,319236.0,339891.0,353873.0,373679.0,387084.0,414879.0,448928.0,470713.0,485012.0
Barito Kuala,200706.0,213432.0,227692.0,237711.0,246397.0,274571.0,291285.0,297199.0,318995.0,340526.0,355160.0,375707.0,417110.0,437579.0,459547.0
Barito Selatan,275729.0,296750.0,311166.0,322062.0,333917.0,355341.0,377932.0,389405.0,408072.0,433787.0,450706.0,481352.0,512492.0,542075.0,564336.0
Barito Timur,304788.0,338467.0,373579.0,401513.0,415710.0,442068.0,467091.0,478510.0,487185.0,517183.0,534896.0,571786.0,623053.0,663119.0,690677.0
Barito Utara,281756.0,317497.0,355065.0,385348.0,408241.0,420100.0,446807.0,450936.0,472552.0,504430.0,525236.0,563393.0,590832.0,628429.0,654095.0
Barru,224201.0,234511.0,246303.0,253904.0,263210.0,280316.0,289371.0,307904.0,322248.0,337047.0,351924.0,368150.0,400702.0,417396.0,426792.0
Batang,184592.0,195983.0,208671.0,216952.0,224437.0,240541.0,249292.0,256549.0,286116.0,309202.0,318330.0,341252.0,378858.0,412196.0,436936.0
Batang Hari,266809.0,285713.0,306054.0,317870.0,328769.0,341320.0,365365.0,394438.0,420227.0,450233.0,462468.0,497857.0,540168.0,613093.0,622440.0
Batu Bara,277434.0,289014.0,303019.0,310494.0,320422.0,347533.0,363741.0,381651.0,408417.0,452393.0,477564.0,508524.0,556529.0,591201.0,613493.0
Bekasi,300013.0,328244.0,361510.0,374255.0,394513.0,416058.0,434112.0,463507.0,481732.0,518667.0,549875.0,579221.0,632811.0,674924.0,698154.0
Belitung,416041.0,463675.0,523846.0,563475.0,580050.0,610072.0,652989.0,704855.0,766276.0,812321.0,830484.0,860629.0,896948.0,919372.0,937759.0
Belitung Timur,380813.0,420973.0,464590.0,492652.0,504668.0,528572.0,563309.0,622396.0,684277.0,725395.0,798017.0,854534.0,899482.0,907577.0,925729.0
Belu,209223.0,229915.0,252005.0,263659.0,279442.0,300914.0,319280.0,330944.0,349414.0,372087.0,379280.0,416519.0,459111.0,476703.0,490904.0
Bener Meriah,322853.0,325576.0,327652.0,329550.0,338719.0,363796.0,383289.0,413208.0,431643.0,457916.0,476074.0,512111.0,551868.0,591421.0,602421.0
Bengkalis,349770.0,367743.0,388671.0,405945.0,420733.0,455021.0,496657.0,508633.0,533123.0,581416.0,604925.0,648933.0,713826.0,755572.0,764542.0
Bengkayang,210755.0,225635.0,240704.0,261184.0,273629.0,291430.0,311815.0,339891.0,357112.0,365755.0,372793.0,396037.0,416148.0,440390.0,454765.0
Bengkulu Selatan,253846.0,266465.0,278823.0,287029.0,294328.0,323991.0,346595.0,364888.0,377823.0,394513.0,408904.0,435955.0,467762.0,492627.0,500588.0
Bengkulu Tengah,255424.0,270611.0,286493.0,297163.0,308010.0,342162.0,366034.0,389821.0,406137.0,431688.0,447435.0,512084.0,549468.0,582468.0,595054.0
Bengkulu Utara,259568.0,272910.0,284806.0,292684.0,302989.0,333311.0,356566.0,359264.0,369367.0,387881.0,398746.0,423857.0,459171.0,484432.0,493892.0
Berau,341533.0,368080.0,396593.0,404665.0,426681.0,465161.0,496385.0,502564.0,526615.0,568500.0,595550.0,624948.0,677819.0,731250.0,753416.0
Biak Numfor,357595.0,384399.0,409164.0,422155.0,466074.0,491278.0,521782.0,528498.0,543971.0,574402.0,602931.0,627921.0,657182.0,677659.0,712459.0
Bima,217395.0,229387.0,243339.0,252628.0,255962.0,282854.0,288703.0,308695.0,327602.0,356352.0,363228.0,395040.0,429327.0,451386.0,465479.0
Bintan,286007.0,290994.0,298916.0,301829.0,313277.0,341812.0,354012.0,367294.0,384396.0,417654.0,424426.0,447933.0,474674.0,496764.0,528549.0
Bireuen,286617.0,289058.0,292308.0,295294.0,301027.0,317562.0,335314.0,358399.0,393198.0,410203.0,422685.0,451163.0,486667.0,494866.0,503866.0
Blitar,210254.0,222899.0,236381.0,244382.0,255966.0,272358.0,285474.0,305440.0,318534.0,325675.0,335573.0,355511.0,387733.0,408399.0,417158.0
Blora,206016.0,221088.0,237850.0,248903.0,257581.0,279972.0,291114.0,308520.0,335837.0,353259.0,363649.0,390478.0,425135.0,464959.0,492105.0
Boalemo,231480.0,249459.0,269570.0,292557.0,309227.0,332297.0,348581.0,368860.0,385122.0,426961.0,450724.0,472906.0,525007.0,551189.0,560482.0
Bogor,235682.0,252542.0,271970.0,280312.0,290874.0,317430.0,337550.0,359787.0,373799.0,402877.0,418483.0,443787.0,482174.0,513512.0,531412.0
Bojonegoro,230397.0,246454.0,263439.0,272886.0,284319.0,295250.0,309564.0,330544.0,347786.0,362383.0,380653.0,403403.0,435936.0,471457.0,490299.0
Bolaang Mongondow,234305.0,237141.0,241743.0,244173.0,257170.0,277338.0,287751.0,295834.0,315400.0,325227.0,343302.0,355639.0,394032.0,415628.0,454500.0
Bolaang Mongondow Selatan,231920.0,234691.0,237554.0,239055.0,256141.0,276229.0,288862.0,295875.0,316305.0,327648.0,345819.0,358465.0,397381.0,419865.0,445063.0
Bolaang Mongondow Timur,232402.0,235203.0,237317.0,238422.0,261715.0,282240.0,293187.0,302924.0,323989.0,335241.0,353872.0,368578.0,411409.0,433873.0,459824.0
Bolaang Mongondow Utara,190022.0,191883.0,194554.0,195957.0,207328.0,223588.0,230974.0,238645.0,254835.0,264227.0,275369.0,283627.0,316327.0,334448.0,364581.0
Bombana,226962.0,230705.0,235920.0,236688.0,246908.0,266717.0,270627.0,288201.0,308396.0,325949.0,346726.0,368576.0,406706.0,423183.0,441758.0
Bondowoso,251426.0,270530.0,290792.0,299819.0,313734.0,331975.0,343124.0,363443.0,380350.0,408352.0,423150.0,449760.0,494000.0,517741.0,526325.0
Bone,208275.0,219432.0,233943.0,244415.0,252392.0,260552.0,272555.0,309076.0,325422.0,345009.0,360177.0,380513.0,408244.0,423727.0,452560.0
Bone Bolango,225395.0,244682.0,265208.0,288741.0,304627.0,327354.0,339614.0,363982.0,380029.0,424275.0,449543.0,475874.0,505252.0,531286.0,555489.0
Boven Digoel,269760.0,298858.0,331147.0,348780.0,379630.0,406678.0,444813.0,452723.0,458012.0,486179.0,520245.0,550445.0,585228.0,622315.0,665009.0
Boyolali,223755.0,235399.0,247845.0,255391.0,263734.0,283921.0,293405.0,304575.0,332996.0,347520.0,361922.0,383030.0,420339.0,442071.0,464627.0
Brebes,261160.0,281601.0,307238.0,327452.0,340538.0,364059.0,382125.0,405932.0,414642.0,431897.0,445853.0,472326.0,513339.0,542495.0,563762.0
Buleleng,260165.0,277458.0,295912.0,306221.0,327357.0,350902.0,372399.0,395678.0,401377.0,424602.0,461018.0,496390.0,537262.0,570129.0,592706.0
Bulukumba,221152.0,233739.0,249131.0,260236.0,272703.0,274318.0,284108.0,310753.0,330161.0,351180.0,369022.0,390040.0,406882.0,422111.0,444994.0
Bulungan,283179.0,302225.0,322878.0,333804.0,352063.0,383642.0,398397.0,413294.0,448548.0,472569.0,486524.0,514320.0,551925.0,572546.0,594190.0
Bungo,232927.0,244463.0,257567.0,265054.0,272254.0,292573.0,310428.0,366226.0,390439.0,422801.0,436020.0,470545.0,517119.0,607714.0,619464.0
Buol,221154.0,236601.0,253185.0,266475.0,271525.0,304085.0,314556.0,332163.0,351135.0,375794.0,387444.0,410824.0,438363.0,477640.0,496424.0
Buru,286433.0,315016.0,347690.0,355985.0,383904.0,396313.0,415403.0,420083.0,463169.0,492055.0,503254.0,530858.0,584277.0,610346.0,638726.0
Buru Selatan,345106.0,391708.0,404982.0,458139.0,500864.0,514124.0,542036.0,542747.0,596469.0,628659.0,644441.0,677044.0,743721.0,769919.0,789414.0
Buton,182569.0,185685.0,188775.0,189228.0,198183.0,209245.0,211485.0,233201.0,254013.0,262541.0,270212.0,279627.0,302183.0,313831.0,372899.0
Buton Selatan,205287.0,205287.0,205287.0,205287.0,205287.0,205287.0,213869.0,214859.0,235847.0,248184.0,253877.0,264666.0,290203.0,300991.0,356075.0
Buton Tengah,215822.0,215822.0,215822.0,215822.0,215822.0,215822.0,220897.0,231289.0,251702.0,264699.0,273354.0,275058.0,299593.0,310721.0,358029.0
Buton Utara,239365.0,240899.0,242884.0,243172.0,258425.0,275544.0,280974.0,306437.0,331555.0,345039.0,355288.0,373792.0,403834.0,422483.0,442786.0
Ciamis,233528.0,251624.0,270515.0,283227.0,296647.0,319150.0,334038.0,357382.0,363750.0,378108.0,389676.0,405294.0,442108.0,467497.0,483644.0
Cianjur,235202.0,250032.0,264580.0,273506.0,287939.0,304255.0,320390.0,340882.0,350760.0,371699.0,387631.0,406829.0,437327.0,466509.0,482562.0
Cilacap,224530.0,240025.0,256615.0,265714.0,273828.0,292525.0,307041.0,320106.0,337572.0,351735.0,363367.0,384955.0,419429.0,441093.0,469174.0
Cirebon,262374.0,281027.0,300990.0,312194.0,327032.0,333758.0,346240.0,370747.0,381372.0,393452.0,404635.0,416914.0,451853.0,475046.0,491604.0
Dairi,239034.0,245743.0,251813.0,255130.0,263359.0,293666.0,310836.0,325176.0,341511.0,380275.0,408893.0,436713.0,463360.0,502924.0,521738.0
Deiyai,331524.0,367678.0,408519.0,430883.0,483206.0,503898.0,556281.0,561857.0,579263.0,608868.0,627742.0,647902.0,709749.0,770492.0,817167.0
Deli Serdang,268926.0,278472.0,288770.0,293551.0,304183.0,347030.0,363371.0,381173.0,390440.0,413202.0,428123.0,448489.0,479509.0,508139.0,525433.0
Demak,254441.0,276041.0,299773.0,315570.0,328529.0,356919.0,371525.0,402211.0,411202.0,432533.0,445176.0,471818.0,511145.0,535134.0,569035.0
Dharmasraya,275528.0,292195.0,309661.0,320644.0,335151.0,374642.0,398408.0,414096.0,439117.0,477421.0,503183.0,530693.0,581058.0,622190.0,633451.0
Dogiyai,333046.0,336900.0,345421.0,349727.0,385923.0,427149.0,471762.0,477674.0,492905.0,512654.0,557009.0,592213.0,653007.0,709423.0,752603.0
Dompu,211464.0,222972.0,233213.0,239936.0,243467.0,263458.0,266483.0,284188.0,328740.0,362142.0,370120.0,404413.0,442451.0,469647.0,484327.0
Donggala,203960.0,217419.0,233991.0,247348.0,251529.0,281374.0,291011.0,308212.0,336404.0,360483.0,369784.0,395028.0,421493.0,438396.0,450811.0
Empat Lawang,216347.0,226435.0,234158.0,237756.0,243132.0,269211.0,280350.0,306546.0,315699.0,341007.0,360378.0,384199.0,411191.0,421747.0,440405.0
Ende,230086.0,250191.0,271888.0,286028.0,291770.0,315095.0,341219.0,358986.0,363508.0,392591.0,428328.0,473403.0,518939.0,528259.0,549363.0
Enrekang,212826.0,223488.0,235269.0,244643.0,258472.0,275971.0,283653.0,312674.0,331667.0,338731.0,352147.0,371669.0,408198.0,427556.0,451580.0
Fakfak,355494.0,369929.0,394248.0,419644.0,433491.0,446531.0,473950.0,498184.0,544783.0,578510.0,596406.0,628418.0,671021.0,725257.0,754624.0
Flores Timur,185817.0,201162.0,214010.0,222207.0,226252.0,246851.0,267317.0,281757.0,279268.0,301611.0,329340.0,364117.0,405486.0,412744.0,429094.0
Garut,202350.0,213707.0,226308.0,234661.0,241068.0,256770.0,267252.0,282683.0,301202.0,310437.0,320050.0,335134.0,367681.0,393464.0,407191.0
Gayo Lues,275000.0,277250.0,279420.0,281178.0,286882.0,301546.0,323482.0,368583.0,387893.0,425529.0,438689.0,470221.0,514836.0,557201.0,567201.0
Gianyar,260704.0,274639.0,279742.0,298465.0,320805.0,339414.0,358496.0,378561.0,382380.0,400079.0,407945.0,434163.0,468307.0,500797.0,522497.0
Gorontalo,249151.0,271772.0,295852.0,323578.0,343373.0,368863.0,382722.0,409179.0,425827.0,475102.0,502964.0,531294.0,568430.0,605743.0,635880.0
Gorontalo Utara,210011.0,211182.0,212360.0,213613.0,222054.0,238621.0,251054.0,267806.0,278746.0,311200.0,327531.0,346557.0,371302.0,387535.0,424573.0
Gowa,245195.0,260721.0,278068.0,290592.0,306328.0,316428.0,333002.0,365503.0,385820.0,390917.0,408435.0,429222.0,456719.0,475305.0,496555.0
Gresik,285519.0,306177.0,331296.0,348888.0,372661.0,393447.0,414261.0,438704.0,466154.0,492628.0,505499.0,536544.0,588316.0,608828.0,635154.0
Grobogan,242212.0,260435.0,278786.0,290827.0,303455.0,333009.0,345379.0,366192.0,375521.0,395001.0,404456.0,428597.0,464614.0,489208.0,526238.0
Gunung Kidul,220479.0,228745.0,238056.0,243847.0,250630.0,264637.0,277261.0,288748.0,301125.0,319851.0,325907.0,350739.0,382249.0,401209.0,413617.0
Gunung Mas,263356.0,288794.0,317979.0,341141.0,356866.0,365198.0,388415.0,388864.0,403045.0,438881.0,456984.0,479550.0,526341.0,562332.0,585476.0
Halmahera Barat,226187.0,238698.0,251447.0,258965.0,269068.0,293118.0,302921.0,316381.0,324849.0,339283.0,358707.0,379108.0,414870.0,455327.0,525327.0
Halmahera Selatan,209455.0,219933.0,230667.0,236969.0,245113.0,266155.0,273849.0,290627.0,310161.0,324767.0,343323.0,362100.0,400768.0,449334.0,512217.0
